image_id,chapter,section,subsection,paragraph_index,source_target,extracted_name,caption,selected_for_wiki,notes
001,光路传输系统,1.1加速器概览,,33,media/image1.png,FieldManual-20250723-1-1加速器概览-001.png,图 1-1,review-needed,
002,光路传输系统,1.1加速器概览,,34,media/image2.png,FieldManual-20250723-1-1加速器概览-002.png,图 1-2,review-needed,
003,光路传输系统,1.2 靶区实验传输光路,,40,media/image3.png,FieldManual-20250723-1-2-靶区实验传输光路-003.png,图 1-3,selected,靶区传输光路总图
004,光路传输系统,1.3 模拟光系统,1.3.1 模拟光的启动与光强调节,59,media/image4.png,FieldManual-20250723-1-3-模拟光系统-004.png,表 1-1 常用的模拟光强度,review-needed,
005,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,92,media/image5.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-005.jpeg,表 1-2 不同工作模式重要镜子的到位情况,review-needed,
006,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,122,media/image6.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-006.png,,review-needed,
007,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,140,media/image7.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-007.jpeg,,review-needed,
008,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,140,media/image8.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-008.jpeg,,review-needed,
009,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,143,media/image9.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-009.png,,review-needed,
010,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,149,media/image10.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-010.jpeg,,review-needed,
011,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,149,media/image11.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-011.jpeg,,review-needed,
012,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,159,media/image12.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-012.png,,review-needed,
013,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,162,media/image13.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-013.jpeg,,review-needed,
014,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,165,media/image14.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-014.jpeg,,review-needed,
015,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,176,media/image15.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-015.jpeg,,review-needed,
016,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,179,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-016.jpeg,,review-needed,
017,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,184,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-017.jpeg,,review-needed,
018,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,188,media/image17.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-018.jpeg,,review-needed,
